tempo_s,clean,clean_empilhado,noisy,noisy_empilhado,stft_subtraction,stft_subtraction_empilhado,stft_wiener,stft_wiener_empilhado,wavelet_soft,wavelet_soft_empilhado
0.800125,0.1262272,3.1262271,0.18216878,1.1821687,0.089695774,-0.91030425,0.12122205,-2.878778,0.023927011,-4.9760728
0.80475,0.061038293,3.0610383,-0.14768215,0.85231787,0.00036622977,-0.99963379,-0.026460102,-3.0264602,0.040590465,-4.9594097
0.809375,0.099736579,3.0997367,-0.17282994,0.82717007,-0.0021058212,-1.0021058,-0.034181442,-3.0341814,0.044985224,-4.9550147
0.814,0.0508449,3.0508449,0.0091557447,1.0091558,0.062503211,-0.93749678,0.066653818,-2.9333463,0.055605888,-4.9443941
0.818625,0.10947218,3.1094723,0.24052139,1.2405214,0.095799603,-0.90420038,0.13175116,-2.8682489,0.11472148,-4.8852787
0.82325,0.039064508,3.0390644,-0.045778722,0.95422125,0.034669749,-0.96533024,0.03619571,-2.9638042,0.0010071319,-4.9989929
0.827875,0.073978417,3.0739784,-0.050661784,0.9493382,-0.027039966,-1.02704,-0.038454127,-3.0384541,0.052584492,-4.9474154
0.8325,0.014496596,3.0144966,-0.12454864,0.87545139,-0.065860324,-1.0658603,-0.096257389,-3.0962574,0.056674052,-4.943326
0.837125,0.03402885,3.0340288,0.050875422,1.0508754,0.038209971,-0.96179003,0.03656194,-2.963438,0.058627281,-4.9413729
0.84175,-0.016419301,2.9835806,0.0080265356,1.0080265,0.03192303,-0.96807694,0.031892508,-2.9681075,-0.093693778,-5.0936937
0.846375,0.0035097019,3.0035098,0.020783542,1.0207835,-0.0061038295,-1.0061039,-0.0043031997,-3.0043032,0.024567915,-4.9754319
0.851,-0.032533415,2.9674666,-0.0037538551,0.99624616,-0.0087284762,-1.0087285,-0.007782382,-3.0077825,-0.044130687,-5.0441308
0.855625,-0.020936135,2.9790637,-0.0039980081,0.99600202,-0.028749038,-1.028749,-0.036592457,-3.0365925,0.034181442,-4.9658184
0.86025,-0.046541698,2.9534583,-0.18848625,0.81151378,-0.033815213,-1.0338153,-0.058962993,-3.0589631,0.0040285275,-4.9959717
0.864875,-0.029878246,2.9701219,-0.02862696,0.97137302,-0.0061343485,-1.0061344,-0.013489462,-3.0134895,-0.048830636,-5.0488305
0.8695,-0.029573055,2.970427,0.055911079,1.0559111,-0.018921873,-1.0189219,-0.0050356593,-3.0050356,-0.05179099,-5.0517912
0.874125,-0.025636083,2.9743638,0.1230532,1.1230532,0.029512018,-0.97048795,0.045961838,-2.9540381,-0.024537394,-5.0245376
0.87875,-0.028993191,2.9710069,-0.28837541,0.71162462,-0.14145625,-1.1414562,-0.19642122,-3.1964211,-0.1192383,-5.1192384
0.883375,-0.025147777,2.9748523,-0.093266517,0.90673351,-0.040102161,-1.0401021,-0.055056542,-3.0550566,-0.032747045,-5.0327473
0.888,-0.026856849,2.9731431,0.15946256,1.1594626,0.11145593,-0.88854408,0.15451844,-2.8454816,-0.04120085,-5.0412006
0.892625,-0.022523131,2.9774768,-0.064792141,0.93520784,-0.040132679,-1.0401326,-0.053408511,-3.0534086,-0.075656965,-5.0756569
0.89725,-0.013184272,2.9868157,-0.20246403,0.79753596,-0.074863471,-1.0748634,-0.11469095,-3.114691,-0.017121242,-5.0171213
0.901875,-0.010864816,2.9891353,-0.012482331,0.98751765,-0.036348302,-1.0363483,-0.049288422,-3.0492885,-0.068057701,-5.0680575
0.9065,-0.0065616164,2.9934385,-0.055819519,0.94418049,-0.040834621,-1.0408347,-0.054018892,-3.054019,-0.065646686,-5.0656466
0.911125,0.0041200845,3.0041201,-0.080143273,0.91985673,-0.052553974,-1.052554,-0.074649841,-3.0746498,-0.023988049,-5.0239882
0.91575,0.0077518634,3.0077519,-0.059878565,0.94012141,-0.028565923,-1.0285659,-0.047487795,-3.0474877,0.040071636,-4.9599285
0.920375,0.011841428,3.0118415,0.27833465,1.2783346,0.090702906,-0.90929711,0.13318555,-2.8668144,0.046328064,-4.9536719
