split,speaker,noise,noise_group,snr_target_db,candidate_id,family,method,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,processing_ms,rtf
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,0,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,-4.307004087580629e-07,6.077453674526051,6.07745410522646,0.0025998977736328916,4.935371188671221,4.932771290897588,14.582199999949808,0.0048607333333166025
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,0,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,-4.307004087580629e-07,2.9487921299930866,2.9487925606934953,0.0025998977736328916,1.8648583854709764,1.8622584876973436,7.506900000180394,0.0025023000000601314
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,0,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,-4.307004087580629e-07,0.347211718178413,0.3472121488788218,0.0025998977736328916,0.18843986939974172,0.18583997162610882,1.6890999997940526,0.0005630333332646842
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,5,noisy,baseline,noisy,4.999999707197212,4.999999707197212,0.0,5.0018317255735525,5.0018317255735525,0.0,0.0560999999379419,1.869999997931397e-05
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,5,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,4.999999707197212,6.5861581813396715,1.5861584741424597,5.0018317255735525,6.803483500047554,1.801651774474002,13.954000000012456,0.004651333333337486
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,5,stft_wiener_default_initial,stft_wiener_default,stft_wiener,4.999999707197212,7.57271021661874,2.572710509421528,5.0018317255735525,6.903768170082679,1.9019364445091265,6.898500000033891,0.0022995000000112973
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,5,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,4.999999707197212,4.227225796683779,-0.7727739105134326,5.0018317255735525,2.7152698312592727,-2.28656189431428,1.6076000001703505,0.0005358666667234502
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,5,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,4.999999707197212,10.201172864907765,5.201173157710553,5.0018317255735525,10.67588935195225,5.674057626378698,13.170899999977337,0.004390299999992446
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,5,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,4.999999707197212,8.631813516561479,3.6318138093642673,5.0018317255735525,8.14753102203505,3.1456992964614976,7.56520000004457,0.0025217333333481897
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,5,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,4.999999707197212,5.287046838904615,0.2870471317074035,5.0018317255735525,5.211012698540941,0.20918097296738836,1.7402999999376334,0.0005800999999792111
