amostra,ruido,grupo_ruido,snr_alvo_db,snr_entrada_observado_db,metodo,snr_saida_db,melhoria_snr_db,mse,si_sdr_db,tempo_processamento_s,duracao_audio_s,rtf,latencia_algoritmica_ms,memoria_aproximada_kb
speech_jackson,straffic_ch01_seg02,STRAFFIC,0,6.020552071605346e-08,wavelet_soft,0.6976222077591048,0.6976221475535841,0.02144280723903218,-0.3458987766565308,0.0010918999978457578,3.0,0.0003639666659485859,32.0,375.25
speech_jackson,straffic_ch01_seg02,STRAFFIC,5,4.999999762537766,noisy,4.999999762537766,0.0,0.007962398065319553,5.073130878030922,8.199996955227107e-06,3.0,2.7333323184090355e-06,0.0,187.5
speech_jackson,straffic_ch01_seg02,STRAFFIC,5,4.999999762537766,stft_subtraction,9.873643059360361,4.873643296822595,0.0025922659521390723,9.501080872935571,0.008334300000569783,3.0,0.002778100000189928,32.0,1788.9609375
speech_jackson,straffic_ch01_seg02,STRAFFIC,5,4.999999762537766,stft_wiener,8.518117031802303,3.518117269264537,0.0035418662580526247,8.46749822617277,0.005013499998312909,3.0,0.001671166666104303,32.0,1788.9609375
speech_jackson,straffic_ch01_seg02,STRAFFIC,5,4.999999762537766,wavelet_soft,5.472008570513531,0.47200880797576517,0.007142380859175238,4.839462644305895,0.0011426999990362674,3.0,0.0003808999996787558,32.0,375.25
speech_jackson,straffic_ch01_seg02,STRAFFIC,10,10.00000034086616,noisy,10.00000034086616,0.0,0.0025179310187051006,10.041620536621325,9.800000407267362e-05,3.0,3.266666802422454e-05,0.0,187.5
speech_jackson,straffic_ch01_seg02,STRAFFIC,10,10.00000034086616,stft_subtraction,14.082383459421788,4.082383118555628,0.0009835705492901626,13.909767244368084,0.007489900002838112,3.0,0.002496633334279371,32.0,1788.9609375
speech_jackson,straffic_ch01_seg02,STRAFFIC,10,10.00000034086616,stft_wiener,13.17230992885483,3.1723095879886696,0.0012128661329784917,13.142458895093064,0.00476889999845298,3.0,0.00158963333281766,32.0,1788.9609375
speech_jackson,straffic_ch01_seg02,STRAFFIC,10,10.00000034086616,wavelet_soft,10.171627686508016,0.17162734564185556,0.0024203662780256235,9.825974130041601,0.0011356999966665171,3.0,0.0003785666655555057,32.0,375.25
speech_jackson,straffic_ch01_seg03,STRAFFIC,-5,-5.000000240639375,noisy,-5.000000240639375,0.0,0.07962398076621277,-5.079615291163913,8.499999239575118e-06,3.0,2.8333330798583725e-06,0.0,187.5
speech_jackson,straffic_ch01_seg03,STRAFFIC,-5,-5.000000240639375,stft_subtraction,1.9169299596557223,6.916930200295098,0.016193878122892875,-0.4041899296841764,0.00793349999730708,3.0,0.00264449999910236,32.0,1788.9609375
speech_jackson,straffic_ch01_seg03,STRAFFIC,-5,-5.000000240639375,stft_wiener,-0.8085987493806391,4.191401491258736,0.03033218782818945,-1.8076984813742896,0.0047407000020029955,3.0,0.0015802333340009984,32.0,1788.9609375
speech_jackson,straffic_ch01_seg03,STRAFFIC,-5,-5.000000240639375,wavelet_soft,-4.655119723548368,0.3448805170910072,0.07354545425883638,-6.203388119101081,0.0012127999943913892,3.0,0.00040426666479712975,32.0,375.25
speech_jackson,straffic_ch01_seg03,STRAFFIC,0,-9.069417130119456e-08,noisy,-9.069417130119456e-08,0.0,0.025179312680776902,-0.04452590108625612,8.700000762473792e-06,3.0,2.9000002541579306e-06,0.0,187.5
speech_jackson,straffic_ch01_seg03,STRAFFIC,0,-9.069417130119456e-08,stft_subtraction,6.285196540671,6.285196631365172,0.005922760998619995,5.1962061901401855,0.008297899999888614,3.0,0.002765966666629538,32.0,1788.9609375
speech_jackson,straffic_ch01_seg03,STRAFFIC,0,-9.069417130119456e-08,stft_wiener,3.988703665506975,3.9887037562011463,0.010050172028043482,3.5141178830423465,0.004616600002918858,3.0,0.0015388666676396194,32.0,1788.9609375
speech_jackson,straffic_ch01_seg03,STRAFFIC,0,-9.069417130119456e-08,wavelet_soft,0.2470493031023602,0.2470493937965315,0.023786959417955177,-0.7235394261437078,0.00125119999574963,3.0,0.0004170666652498767,32.0,375.25
