split,speaker,noise,noise_group,snr_target_db,candidate_id,family,execution_mode,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,block_count,block_mean_ms,block_p95_ms,block_p99_ms,block_worst_ms,processing_ms,rtf,state_memory_bytes,speech_block_fraction,warming_blocks
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,subtraction_calibration_causal,stft_subtraction,causal_blocks,5.000000245111636,4.433558206905611,-0.5664420382060245,4.994752183499897,3.0946777082486405,-1.9000744752512566,150,0.6702720000369785,0.9541399998852278,1.1296399997809201,1.607500000318396,100.54080000554677,0.03351360000184892,60900,0.0,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,subtraction_adaptive_causal,stft_subtraction,causal_blocks,5.000000245111636,8.42056356272343,3.420563317611794,4.994752183499897,7.74854459794758,2.753792414447683,150,1.5355466667097062,2.1508000004359924,2.8671590002886638,4.009999999652791,230.33200000645593,0.07677733333548531,60900,0.4066666666666667,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,wiener_initial_legacy,stft_wiener,offline_file,5.000000245111636,7.531797563099538,2.531797317987902,4.994752183499897,6.849643046038992,1.8548908625390945,1,3.941599999961909,3.941599999961909,3.941599999961909,3.941599999961909,3.941599999961909,0.0013138666666539696,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,wiener_low_energy_offline,stft_wiener,offline_file,5.000000245111636,8.050621621814397,3.050621376702761,4.994752183499897,7.4956136656998265,2.5008614821999293,1,3.348099999129772,3.348099999129772,3.348099999129772,3.348099999129772,3.348099999129772,0.0011160333330432575,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,wiener_adaptive_causal,stft_wiener,causal_blocks,5.000000245111636,6.664301732440783,1.6643014873291468,4.994752183499897,6.409456898481619,1.4147047149817222,150,1.2474833333302133,2.0917050003845343,3.0650010000499592,8.410699999330973,187.122499999532,0.06237416666651067,60900,0.4066666666666667,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,bypass,baseline,causal_blocks,9.999999961421718,9.999999961421718,0.0,9.997094439174093,9.997094439174093,0.0,150,0.02197866666392656,0.02931000026364927,0.04686499992203597,0.0915000000532018,3.296799999588984,0.001098933333196328,57952,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,subtraction_initial_legacy,stft_subtraction,offline_file,9.999999961421718,6.839881230778001,-3.160118730643717,9.997094439174093,7.4770943527764775,-2.5200000863976157,1,6.066500000088126,6.066500000088126,6.066500000088126,6.066500000088126,6.066500000088126,0.0020221666666960423,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,subtraction_low_energy_offline,stft_subtraction,offline_file,9.999999961421718,11.883714205093469,1.8837142436717507,9.997094439174093,13.114146857054276,3.117052417880183,1,6.202899999152578,6.202899999152578,6.202899999152578,6.202899999152578,6.202899999152578,0.002067633333050859,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,subtraction_calibration_causal,stft_subtraction,causal_blocks,9.999999961421718,4.771873651063219,-5.228126310358499,9.997094439174093,4.0218091209188875,-5.975285318255206,150,0.44895399999101454,0.7826550000118004,0.931009000105405,0.9671999996498926,67.34309999865218,0.022447699999550725,60900,0.0,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,subtraction_adaptive_causal,stft_subtraction,causal_blocks,9.999999961421718,11.23568211203567,1.2356821506139521,9.997094439174093,11.258810632278557,1.2617161931044638,150,1.7406193333105573,2.4724750002860634,6.689712000234065,26.416700000481796,261.0928999965836,0.08703096666552786,60900,0.5133333333333333,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,wiener_initial_legacy,stft_wiener,offline_file,9.999999961421718,8.538027208756805,-1.461972752664913,9.997094439174093,8.407709216890451,-1.5893852222836422,1,4.7594999996363185,4.7594999996363185,4.7594999996363185,4.7594999996363185,4.7594999996363185,0.0015864999998787728,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,wiener_low_energy_offline,stft_wiener,offline_file,9.999999961421718,12.98846765465858,2.9884676932368617,9.997094439174093,12.775589501952238,2.778495062778145,1,4.9605000003793975,4.9605000003793975,4.9605000003793975,4.9605000003793975,4.9605000003793975,0.001653500000126466,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,wiener_adaptive_causal,stft_wiener,causal_blocks,9.999999961421718,11.38607062036301,1.3860706589412928,9.997094439174093,11.177523751332908,1.1804293121588145,150,1.3783386666606627,1.9834799997624941,3.6316319995876016,5.622800000310235,206.7507999990994,0.06891693333303313,60900,0.5133333333333333,13
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,bypass,baseline,causal_blocks,-4.999999601441752,-4.999999601441752,0.0,-4.996033177208246,-4.996033177208246,0.0,150,0.01789266668614194,0.023210000381368407,0.03158799974698914,0.03640000068116933,2.683900002921291,0.000894633334307097,57952,0.0,0
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,subtraction_initial_legacy,stft_subtraction,offline_file,-4.999999601441752,4.233054615910164,9.233054217351917,-4.996033177208246,2.1769583280857256,7.172991505293972,1,7.574700000077428,7.574700000077428,7.574700000077428,7.574700000077428,7.574700000077428,0.0025249000000258093,0,0.0,0
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,subtraction_low_energy_offline,stft_subtraction,offline_file,-4.999999601441752,1.582909686222675,6.582909287664427,-4.996033177208246,-1.6466431052436636,3.3493900719645824,1,6.54350000058912,6.54350000058912,6.54350000058912,6.54350000058912,6.54350000058912,0.00218116666686304,0,0.0,0
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,subtraction_calibration_causal,stft_subtraction,causal_blocks,-4.999999601441752,1.6446037479608644,6.644603349402617,-4.996033177208246,-2.2744086030846162,2.72162457412363,150,0.48646933331231895,0.8274249998066807,1.015909999950962,1.1360000007698545,72.97039999684785,0.02432346666561595,60900,0.0,13
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,subtraction_adaptive_causal,stft_subtraction,causal_blocks,-4.999999601441752,0.6777214994642446,5.6777211009059965,-4.996033177208246,-0.7457347340701636,4.250298443138083,150,1.3649419999940922,1.7956550001599674,3.115612999890799,8.605500000157917,204.74129999911383,0.06824709999970462,60900,0.18,13
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,wiener_initial_legacy,stft_wiener,offline_file,-4.999999601441752,1.9320582461191227,6.932057847560875,-4.996033177208246,-0.05249950362948269,4.943533673578763,1,3.7439999996422557,3.7439999996422557,3.7439999996422557,3.7439999996422557,3.7439999996422557,0.0012479999998807518,0,0.0,0
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,wiener_low_energy_offline,stft_wiener,offline_file,-4.999999601441752,-2.400321206541668,2.599678394900084,-4.996033177208246,-4.334598550454184,0.6614346267540618,1,4.491599999710161,4.491599999710161,4.491599999710161,4.491599999710161,4.491599999710161,0.001497199999903387,0,0.0,0
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,wiener_adaptive_causal,stft_wiener,causal_blocks,-4.999999601441752,-2.849261470936175,2.150738130505577,-4.996033177208246,-3.1225502934582154,1.8734828837500306,150,1.2966166667016903,1.900564999959896,3.249725000177922,11.75630000034289,194.49250000525353,0.0648308333350845,60900,0.18,13
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,0,bypass,baseline,causal_blocks,-4.307004087580629e-07,-4.307004087580629e-07,0.0,0.0025998977736328916,0.0025998977736328916,0.0,150,0.019417333332967246,0.02785500018944731,0.0504090001868461,0.14899999951012433,2.912599999945087,0.0009708666666483623,57952,0.0,0
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,0,subtraction_initial_legacy,stft_subtraction,offline_file,-4.307004087580629e-07,5.878154905771774,5.878155336472183,0.0025998977736328916,5.192304766378121,5.189704868604488,1,8.569499999794061,8.569499999794061,8.569499999794061,8.569499999794061,8.569499999794061,0.0028564999999313536,0,0.0,0
